route,count
/api/generations,4979
/api/drafts/generate-image,1793
/api/auth/profile,1064
/api/models,571
/api/generations/monthly-stats,342
/api/generate/advanced,278
/api/generations/:uuid,198
/api/upload/presign,98
/api/drafts/nsfw,83
/api/nsfw/loras/:uuid,42
/api/drafts/generate-video,37
/api/nsfw/:token,31
/api/upload/blob,31
/api/upload,24
/api/nsfw/training-status/:uuid,17
/api/nsfw/training-images/:uuid,16
/api/generations/batch-delete,14
/api/upload/config,13
/api/nsfw/appearance/:uuid,12
/api/drafts/prompt-image,8
/api/generate/enhance-prompt,8
/api/nsfw/generate-prompt,6
/api/models/:uuid,6
/api/nsfw/generate,5
/api/drafts/nsfw-img2img,5
/api/onboarding/lock-offer,4
/api/nsfw/auto-select,4
/api/drafts/upload,3
/api/stripe/:token,3
/api/voices,2
/api/generate/video-prompt,2
/api/nsfw/nudes-pack-poses,2
/api/onboarding/trial-generate,1
/api/generate/analyze-looks,1
/api/onboarding/trial-upload,1
/api/stripe/confirm-payment,1
/api/generate/image-faceswap,1
/api/generate/video-motion,1
/api/auth/2fa/status,1
/api/stripe/subscription-status,1
/api/course/status,1
/api/nsfw/lora/create,1
/api/nsfw/train-lora,1
/api/img2img/describe,1
/api/generate/image-identity,1
/api/download,1
/api/nsfw/appearance/save,1
